Page,URL,Title,Impact,Rule ID,Description,Help,Help URL,HTML Element
1,https://test-ufl.pantheonsite.io,Homepage | Urbana Free Library,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<div tabindex=""-1"" class=""field__item slick-slide"" data-slick-index=""0"" aria-hidden=""true"" role=""tabpanel"" id=""slick-slide00"" aria-describedby=""slick-slide-control00"" style=""width: 1229px;"">"
82,https://test-ufl.pantheonsite.io/ebooks-more/research-learn?field_resource_category_target_id=4,Research & Learn | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""https://twitter.com/search?f=tweets&amp;vertical=default&amp;q=urbanafree"" target=""_blank"" alt=""twitter""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/twitter.png"" typeof=""foaf:Image""></a>"
82,https://test-ufl.pantheonsite.io/ebooks-more/research-learn?field_resource_category_target_id=4,Research & Learn | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""http://www.flickr.com/photos/98945443@N05"" target=""_blank"" alt=""flickr""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/flickr.png"" typeof=""foaf:Image""></a>"
83,https://test-ufl.pantheonsite.io/ebooks-more/research-learn?field_resource_category_target_id=6,Research & Learn | Urbana Free Library,moderate,landmark-unique,Ensure landmarks are unique,Landmarks should have a unique role or role/label/title (i.e. accessible name) combination,https://dequeuniversity.com/rules/axe/4.10/landmark-unique?application=axeAPI,"<div role=""navigation"" aria-label=""Mobile navigation"" class=""region region-mobile-navigation"" id=""region-mobile-navigation"">"
83,https://test-ufl.pantheonsite.io/ebooks-more/research-learn?field_resource_category_target_id=6,Research & Learn | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""https://www.facebook.com/UrbanaFreeLibrary"" target=""_blank"" alt=""facebook""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/facebook.png"" typeof=""foaf:Image""></a>"
83,https://test-ufl.pantheonsite.io/ebooks-more/research-learn?field_resource_category_target_id=6,Research & Learn | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""https://www.instagram.com/urbanafreelibrary/"" target=""_blank"" alt=""instagram""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/instagram.png"" typeof=""foaf:Image""></a>"
83,https://test-ufl.pantheonsite.io/ebooks-more/research-learn?field_resource_category_target_id=6,Research & Learn | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""https://twitter.com/search?f=tweets&amp;vertical=default&amp;q=urbanafree"" target=""_blank"" alt=""twitter""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/twitter.png"" typeof=""foaf:Image""></a>"
83,https://test-ufl.pantheonsite.io/ebooks-more/research-learn?field_resource_category_target_id=6,Research & Learn | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""http://www.flickr.com/photos/98945443@N05"" target=""_blank"" alt=""flickr""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/flickr.png"" typeof=""foaf:Image""></a>"
84,https://test-ufl.pantheonsite.io/ebooks-more/research-learn?field_resource_category_target_id=5,Research & Learn | Urbana Free Library,moderate,landmark-unique,Ensure landmarks are unique,Landmarks should have a unique role or role/label/title (i.e. accessible name) combination,https://dequeuniversity.com/rules/axe/4.10/landmark-unique?application=axeAPI,"<div role=""navigation"" aria-label=""Mobile navigation"" class=""region region-mobile-navigation"" id=""region-mobile-navigation"">"
84,https://test-ufl.pantheonsite.io/ebooks-more/research-learn?field_resource_category_target_id=5,Research & Learn | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""https://www.facebook.com/UrbanaFreeLibrary"" target=""_blank"" alt=""facebook""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/facebook.png"" typeof=""foaf:Image""></a>"
84,https://test-ufl.pantheonsite.io/ebooks-more/research-learn?field_resource_category_target_id=5,Research & Learn | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""https://www.instagram.com/urbanafreelibrary/"" target=""_blank"" alt=""instagram""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/instagram.png"" typeof=""foaf:Image""></a>"
84,https://test-ufl.pantheonsite.io/ebooks-more/research-learn?field_resource_category_target_id=5,Research & Learn | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""https://twitter.com/search?f=tweets&amp;vertical=default&amp;q=urbanafree"" target=""_blank"" alt=""twitter""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/twitter.png"" typeof=""foaf:Image""></a>"
84,https://test-ufl.pantheonsite.io/ebooks-more/research-learn?field_resource_category_target_id=5,Research & Learn | Urbana Free Library,serious,link-name,Ensure links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.10/link-name?application=axeAPI,"<a href=""http://www.flickr.com/photos/98945443@N05"" target=""_blank"" alt=""flickr""><img alt="""" class=""adaptive-image"" src=""/themes/custom/ufl/assets/images/flickr.png"" typeof=""foaf:Image""></a>"
